name,TP,FP,FN,precision,recall,mse
mtcnn_all/Luis_Ernesto_Derbez_Bautista_5,0.0909,0.0,0.9091,0.0909,0.0909,0.1909
mtcnn_all/Luis_Fonsi_2,1.0,0.0,0.0,1.0,1.0,3.2968
mtcnn_all/Luis_Fonsi_4,0.0,0.0,1.0,0.0,0.0,0.0
mtcnn_all/Luis_Fonsi_5,0.5294,0.0226,0.4706,0.5294,0.5294,197.7426
mtcnn_all/Luiz_Inacio_Lula_da_Silva_2,0.9636,0.0364,0.0364,0.9636,0.9636,29.8591
mtcnn_all/Luiz_Inacio_Lula_da_Silva_4,0.9375,0.0042,0.0625,0.9354,0.9375,69.3562
mtcnn_all/Lyle_Lovett_2,0.8251,0.3825,0.1749,0.7254,0.8251,1843.5191
mtcnn_all/Lyle_Lovett_4,0.6641,0.1908,0.3359,0.6527,0.6641,951.1202
mtcnn_all/Lyle_Lovett_5,1.0,0.0,0.0,1.0,1.0,15.5386
mtcnn_all/Lynne_Cheney_0,1.0,0.0,0.0,1.0,1.0,9.0909
mtcnn_all/Lynne_Cheney_1,0.963,0.0,0.037,0.963,0.963,6.6898
mtcnn_all/Mack_Brown_0,0.7119,0.0,0.2881,0.7119,0.7119,5.4428
mtcnn_all/Mack_Brown_4,1.0,0.0,0.0,1.0,1.0,9.0877
mtcnn_all/Mack_Brown_5,0.8241,0.1759,0.1759,0.8241,0.8241,32.1157
mtcnn_all/Madeleine_Albright_3,1.0,0.0,0.0,1.0,1.0,7.5267
mtcnn_all/Madeleine_Albright_5,1.0,0.0,0.0,1.0,1.0,5.4885
mtcnn_all/Maggie_Cheung_0,0.9517,0.0,0.0483,0.9517,0.9517,4.1099
mtcnn_all/Maggie_Cheung_3,1.0,0.0,0.0,1.0,1.0,7.6705
mtcnn_all/Maggie_Cheung_5,1.0,0.0,0.0,1.0,1.0,26.6614
mtcnn_all/Maggie_Smith_0,1.0,0.0,0.0,1.0,1.0,50.6936
mtcnn_all/Maggie_Smith_3,1.0,0.0,0.0,1.0,1.0,8.8594
mtcnn_all/Maggie_Smith_4,1.0,0.0,0.0,1.0,1.0,2.5784
mtcnn_all/Mahathir_Mohamad_0,1.0,0.0,0.0,1.0,1.0,8.2401
mtcnn_all/Mahathir_Mohamad_1,1.0,0.0,0.0,1.0,1.0,5.8115
mtcnn_all/Mahathir_Mohamad_2,0.9958,0.0,0.0042,0.9958,0.9958,8.1422
mtcnn_all/Mahathir_Mohamad_3,1.0,0.0,0.0,1.0,1.0,13.7036
mtcnn_all/Mahmoud_Abbas_1,0.971,0.0,0.029,0.971,0.971,23.8053
mtcnn_all/Mahmoud_Abbas_5,1.0,0.0,0.0,1.0,1.0,6.5224
mtcnn_all/Malcolm_Jamal_Warner_0,1.0,0.0,0.0,1.0,1.0,8.7584
mtcnn_all/Malcolm_Jamal_Warner_1,1.0,0.1119,0.0,0.9441,1.0,30.8881
mtcnn_all/Malcolm_Jamal_Warner_2,1.0,0.0,0.0,1.0,1.0,14.8052
mtcnn_all/Manijeh_Hekmat_0,1.0,0.0,0.0,1.0,1.0,9.003
mtcnn_all/Manijeh_Hekmat_2,1.0,0.0,0.0,1.0,1.0,10.1364
mtcnn_all/Manuel_Llorente_0,1.0,0.0,0.0,1.0,1.0,3.8917
mtcnn_all/Manuel_Llorente_3,1.0,0.3974,0.0,0.8141,1.0,4091.5342
mtcnn_all/Manuel_Pellegrini_1,0.9891,0.0,0.0109,0.9891,0.9891,6.2337
mtcnn_all/Manuel_Pellegrini_2,0.9776,0.0,0.0224,0.9776,0.9776,9.185
mtcnn_all/Manuel_Pellegrini_3,0.9794,0.0,0.0206,0.9794,0.9794,11.174
mtcnn_all/Marcos_Milinkovic_0,0.7463,0.0,0.2537,0.7463,0.7463,13.9944
mtcnn_all/Marcos_Milinkovic_2,1.0,0.0282,0.0,0.9859,1.0,165.0018
