name,TP,FP,FN,precision,recall
viola_all/Mario_Gallegos_3,1.0,0.05,0.0,0.975,1.0
viola_all/Mario_Gallegos_4,1.0,0.0426,0.0,0.9787,1.0
viola_all/Mario_Kreutzberger_2,0.9792,0.0,0.0208,0.9792,0.9792
viola_all/Mario_Kreutzberger_3,1.0,0.0086,0.0,0.9957,1.0
viola_all/Mario_Kreutzberger_4,1.0,0.0273,0.0,0.9863,1.0
viola_all/Mario_Lobo_Zagallo_1,1.0,0.0,0.0,1.0,1.0
viola_all/Mario_Lobo_Zagallo_5,1.0,0.0213,0.0,0.9894,1.0
viola_all/Marisa_Tomei_1,1.0,0.2339,0.0,0.883,1.0
viola_all/Marisa_Tomei_2,1.0,0.0,0.0,1.0,1.0
viola_all/Marisa_Tomei_4,1.0,0.0,0.0,1.0,1.0
viola_all/Marissa_Jaret_Winokur_0,1.0,0.0083,0.0,0.9958,1.0
viola_all/Marissa_Jaret_Winokur_3,1.0,0.0,0.0,1.0,1.0
viola_all/Marissa_Jaret_Winokur_4,1.0,0.0658,0.0,0.9671,1.0
viola_all/Mark_Cuban_3,1.0,0.0,0.0,1.0,1.0
viola_all/Mark_Cuban_4,1.0,0.0542,0.0,0.9729,1.0
viola_all/Mark_Dacey_0,1.0,0.0,0.0,1.0,1.0
viola_all/Mark_Dacey_3,0.9913,0.0,0.0087,0.9913,0.9913
viola_all/Mark_Foley_1,1.0,0.0,0.0,1.0,1.0
